ISO_3,Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
MMR,Myanmar,0.445660618,0.445660618,0.445660618,0.445660618,0.445660618,0.445660618,0.445660618,0.445660618,0.445660618,0.453056805,0.457225846,0.485880409,0.484857361,0.484857361,0.484857361,0.484857361,0.484857361
NAM,Namibia,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
NRU,Nauru,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
NPL,Nepal,0.541911599,0.541911599,0.541911599,0.541911599,0.541911599,0.541911599,0.541911599,0.545516213,0.54578506,0.54578506,0.54578506,0.54578506,0.54578506,0.54578506,0.54578506,0.54578506,0.54578506
NLD,Netherlands,0.194975796,0.194975796,0.194975796,0.194975796,0.194975796,0.194975796,0.194975796,0.194975796,0.194975796,0.194975796,0.194975796,0.194975796,0.194975796,0.194975796,0.194975796,0.194975796,0.194975796
NZL,New Zealand,0.044363593,0.044363593,0.044363593,0.044363593,0.044363593,0.044363593,0.044363593,0.044363593,0.044363593,0.044363593,0.044363593,0.044363593,0.044363593,0.044363593,0.044363593,0.044363593,0.044363593
NIC,Nicaragua,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
NER,Niger,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
NGA,Nigeria,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
NOR,Norway,0.065934066,0.065934066,0.065934066,0.065934066,0.065934066,0.065934066,0.065934066,0.065934066,0.065934066,0.065934066,0.064297534,0.090012817,0.090012817,0.090012817,0.090012817,0.090012817,0.090012817
OMN,Oman,0.061846961,0.061846961,0.061846961,0.061846961,0.061846961,0.061846961,0.061846961,0.061846961,0.061846961,0.061846961,0.061846961,0.061846961,0.061846961,0.061846961,0.061846961,0.061846961,0.061846961
PAK,Pakistan,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PLW,Palau,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
PAN,Panama,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
PNG,Papua New Guinea,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
PRY,Paraguay,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
PER,Peru,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
PHL,Philippines,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
POL,Poland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRT,Portugal,0.223095283,0.223095283,0.223095283,0.223095283,0.223095283,0.223095283,0.223095283,0.223095283,0.223095283,0.223095283,0.223095283,0.218112206,0.213129123,0.213129123,0.213129123,0.213129123,0.213129123
QAT,Qatar,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ROU,Romania,0.024688941,0.024688941,0.024688941,0.024688941,0.024688941,0.024688941,0.024688941,0.046801877,0.058052951,0.02682092,0,0,0.027802469,0.018311001,0.024262519,0.024262519,0.024262519
RUS,Russian Federation,0.0218177,0.0218177,0.0218177,0.0218177,0.0218177,0.0218177,0.0218177,0.021472416,0.022441271,0.022396254,0.021925907,0.021575329,0.020803515,0.019812664,0.019812664,0.019812664,0.019812664
